,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,updated_github_id,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2023-11-30 20:57:40,2023-11-30 14:15:49,2650.0,238.0,1433.0,104.0,3240.0,371.0,3076.0,16631,2023-11-22 13:31:59,2.5.2,100.0,Data validation using Python type hints.,294664.0,294664.0,448.0,https://pypi.org/project/pydantic,125357940.0,125357940.0,45,True,1,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2023-11-29 19:22:53,2023-11-28 12:36:10,12382.0,90.0,4391.0,472.0,3143.0,588.0,4365.0,22614,2023-11-22 15:18:14,5.3.6,45.0,Distributed Task Queue (development branch).,118853.0,118853.0,1322.0,https://pypi.org/project/celery,8626539.0,8626539.0,44,True,1,,,,,
2,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2023-11-30 11:07:36,2023-11-30 11:07:36,8728.0,15.0,6524.0,629.0,4604.0,70.0,3774.0,26694,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,603485.0,603485.0,1382.0,https://pypi.org/project/django-rest-framework,110943.0,110943.0,41,True,1,,,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2023-12-01 00:03:25,2023-11-29 15:48:58,16224.0,17.0,2911.0,402.0,4203.0,104.0,3352.0,9627,2023-09-08 06:28:31,3.11.4,11.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,5051.0,5051.0,636.0,https://pypi.org/project/django-cms,70796.0,70796.0,40,True,1,,,,,
4,django-import-export,django-import-export/django-import-export,django-import-export,[],admin-interface-actions,https://github.com/django-import-export/django-import-export,https://github.com/django-import-export/django-import-export,BSD-2-Clause,2012-11-15 13:12:22,2023-11-30 20:09:34,2023-11-17 14:46:40,1387.0,39.0,719.0,66.0,729.0,29.0,916.0,2781,2023-11-11 13:33:19,3.3.3,18.0,Django application and library for importing and exporting data with admin integration.,88327.0,88327.0,203.0,https://pypi.org/project/django-import-export,888177.0,888177.0,38,True,1,,,,,
5,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2023-11-30 18:29:38,2023-11-30 08:02:54,16445.0,654.0,3413.0,342.0,6368.0,848.0,3807.0,16339,2023-11-16 14:51:06,5.2.1,100.0,A Django content management system focused on flexibility and user experience.,6.0,6.0,872.0,https://pypi.org/project/wagtail,212123.0,212123.0,37,True,3,,,,,
6,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2023-11-28 07:52:06,2023-11-28 07:52:06,2545.0,14.0,891.0,109.0,985.0,72.0,802.0,7705,2023-08-11 01:35:07,4.2,15.0,A configurable set of panels that display various debug information about the current request/response.,80537.0,80537.0,277.0,https://pypi.org/project/django-debug-toolbar,2202531.0,2202532.0,37,True,1,213.0,,,,
7,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,BSD-3-Clause,2010-12-08 21:30:32,2023-11-27 15:59:40,2023-11-15 13:13:30,8968.0,28.0,2089.0,269.0,2720.0,73.0,1403.0,5958,2023-09-01 14:26:52,3.2.2,6.0,Domain-driven e-commerce for Django.,1044.0,1044.0,352.0,https://pypi.org/project/django-oscar,19895.0,19895.0,37,True,1,,,,,
8,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2023-11-21 21:56:01,2023-10-25 09:17:10,3621.0,1.0,1105.0,103.0,972.0,157.0,719.0,6276,2023-06-07 11:23:14,3.2.3,5.0,This is a repository for collecting global custom management extensions for the Django Framework.,207561.0,207561.0,573.0,https://pypi.org/project/django-extensions,3121978.0,3121978.0,36,True,1,,-1.0,,,
9,django-simple-history,jazzband/django-simple-history,django-simple-history,[],fields-versioning,https://github.com/jazzband/django-simple-history,https://github.com/jazzband/django-simple-history,BSD-3-Clause,2011-03-06 22:42:19,2023-11-30 14:47:12,2023-09-28 17:40:17,1304.0,19.0,425.0,41.0,738.0,116.0,424.0,1990,2023-08-17 22:55:48,3.4.0,35.0,Store model history and view/revert changes from admin site.,4681.0,4681.0,179.0,https://pypi.org/project/django-simple-history,1062709.0,1062709.0,36,True,1,,,,,
10,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2023-11-29 03:10:46,2023-11-24 12:33:02,1803.0,8.0,1352.0,209.0,862.0,163.0,933.0,9233,2023-06-21 01:53:02,1.15.1,27.0,Simple job queues for Python.,15146.0,15146.0,301.0,https://pypi.org/project/rq,1361148.0,1361148.0,35,True,2,,-1.0,,,
11,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-11-28 12:05:57,2023-10-06 20:15:26,1755.0,1.0,800.0,142.0,541.0,103.0,875.0,7853,2023-07-26 06:47:55,3.3.0,59.0,GraphQL framework for Python.,19377.0,19377.0,207.0,https://pypi.org/project/graphene,1872235.0,1872235.0,35,True,1,,,,,
12,django-reversion,etianen/django-reversion,django-reversion,[],fields-versioning,https://github.com/etianen/django-reversion,https://github.com/etianen/django-reversion,BSD-3-Clause,2010-05-31 15:32:25,2023-11-08 20:31:03,2023-11-08 20:30:33,1517.0,16.0,455.0,56.0,311.0,11.0,631.0,2927,2023-11-08 20:32:04,5.0.8,12.0,django-reversion is an extension to the Django web framework that provides version control for model instances.,7259.0,7259.0,189.0,https://pypi.org/project/django-reversion,347019.0,347019.0,35,True,2,,,,,
